#Frequency,Velocity,Velstd
6.500,243.125,0.000000000
7.000,267.478,0.000000000
7.500,282.506,0.000000000
8.000,289.210,0.000000000
8.500,285.569,0.000000000
9.000,275.757,0.000000000
9.500,256.620,0.000000000
10.000,234.756,0.000000000
10.500,211.240,0.000000000
11.000,194.500,0.000000000
11.500,181.354,0.000000000
12.000,173.384,0.000000000
12.500,166.314,0.000000000
13.000,158.624,0.000000000
13.500,151.701,0.000000000
14.000,145.215,0.000000000
14.500,138.797,0.000000000
15.000,133.804,0.000000000
15.500,130.536,0.000000000
16.000,127.809,0.000000000
16.500,125.264,0.000000000
17.000,123.427,0.000000000
17.500,121.662,0.000000000
18.000,118.893,0.000000000
18.500,115.773,0.000000000
19.000,112.756,0.000000000
19.500,109.834,0.000000000
20.000,107.240,0.000000000
20.500,106.232,0.000000000
21.000,106.246,0.000000000
21.500,106.569,0.000000000
22.000,107.046,0.000000000
22.500,107.609,0.000000000
23.000,108.321,0.000000000
23.500,108.958,0.000000000
24.000,109.564,0.000000000
24.500,110.026,0.000000000
25.000,110.465,0.000000000
25.500,113.122,0.000000000
26.000,116.039,0.000000000
26.500,118.937,0.000000000
27.000,122.777,0.000000000
27.500,127.926,0.000000000
28.000,130.783,0.000000000
28.500,138.356,0.000000000
