#Frequency,Velocity,Velstd
6.500,253.448,0.000000000
7.000,262.884,0.000000000
7.500,271.742,0.000000000
8.000,265.558,0.000000000
8.500,259.374,0.000000000
9.000,248.478,0.000000000
9.500,236.633,0.000000000
10.000,221.413,0.000000000
10.500,210.203,0.000000000
11.000,196.312,0.000000000
11.500,184.706,0.000000000
12.000,171.155,0.000000000
12.500,160.195,0.000000000
13.000,149.874,0.000000000
13.500,140.909,0.000000000
14.000,132.632,0.000000000
14.500,126.211,0.000000000
15.000,121.065,0.000000000
15.500,117.295,0.000000000
16.000,114.713,0.000000000
16.500,113.870,0.000000000
17.000,113.488,0.000000000
17.500,113.211,0.000000000
18.000,113.176,0.000000000
18.500,113.278,0.000000000
19.000,113.297,0.000000000
19.500,112.788,0.000000000
20.000,112.179,0.000000000
20.500,111.167,0.000000000
21.000,109.580,0.000000000
21.500,108.075,0.000000000
22.000,107.100,0.000000000
22.500,107.445,0.000000000
23.000,109.201,0.000000000
23.500,113.078,0.000000000
24.000,117.020,0.000000000
24.500,122.537,0.000000000
25.000,131.032,0.000000000
25.500,237.176,0.000000000
26.000,347.398,0.000000000
26.500,466.882,0.000000000
27.000,587.297,0.000000000
27.500,747.268,0.000000000
28.000,875.876,0.000000000
28.500,1003.316,0.000000000
