#Frequency,Velocity,Velstd
6.500,270.727,0.000000000
7.000,283.322,0.000000000
7.500,291.877,0.000000000
8.000,280.673,0.000000000
8.500,268.001,0.000000000
9.000,252.009,0.000000000
9.500,228.601,0.000000000
10.000,207.305,0.000000000
10.500,192.968,0.000000000
11.000,179.789,0.000000000
11.500,166.623,0.000000000
12.000,159.384,0.000000000
12.500,153.758,0.000000000
13.000,148.297,0.000000000
13.500,142.362,0.000000000
14.000,138.640,0.000000000
14.500,135.196,0.000000000
15.000,132.066,0.000000000
15.500,128.814,0.000000000
16.000,125.960,0.000000000
16.500,124.103,0.000000000
17.000,123.459,0.000000000
17.500,122.285,0.000000000
18.000,121.259,0.000000000
18.500,120.616,0.000000000
19.000,119.997,0.000000000
19.500,118.697,0.000000000
20.000,117.540,0.000000000
20.500,116.397,0.000000000
21.000,115.257,0.000000000
21.500,114.479,0.000000000
22.000,114.894,0.000000000
22.500,120.422,0.000000000
23.000,121.223,0.000000000
23.500,126.750,0.000000000
24.000,131.988,0.000000000
24.500,135.288,0.000000000
25.000,132.068,0.000000000
25.500,133.573,0.000000000
26.000,130.353,0.000000000
26.500,128.927,0.000000000
27.000,139.754,0.000000000
27.500,176.050,0.000000000
28.000,212.345,0.000000000
28.500,248.640,0.000000000
