#Frequency,Velocity,Velstd
6.500,327.975,0.000000000
7.000,322.669,0.000000000
7.500,319.190,0.000000000
8.000,310.278,0.000000000
8.500,306.799,0.000000000
9.000,308.626,0.000000000
9.500,308.464,0.000000000
10.000,302.942,0.000000000
10.500,297.220,0.000000000
11.000,287.909,0.000000000
11.500,278.169,0.000000000
12.000,268.561,0.000000000
12.500,261.259,0.000000000
13.000,253.575,0.000000000
13.500,246.987,0.000000000
14.000,239.629,0.000000000
14.500,233.122,0.000000000
15.000,226.906,0.000000000
15.500,222.718,0.000000000
16.000,218.021,0.000000000
16.500,214.510,0.000000000
17.000,211.433,0.000000000
17.500,208.327,0.000000000
18.000,205.586,0.000000000
18.500,203.682,0.000000000
19.000,201.397,0.000000000
19.500,199.447,0.000000000
20.000,198.367,0.000000000
20.500,197.104,0.000000000
21.000,196.061,0.000000000
21.500,195.350,0.000000000
22.000,194.860,0.000000000
22.500,194.257,0.000000000
23.000,193.851,0.000000000
23.500,193.562,0.000000000
24.000,193.468,0.000000000
24.500,193.565,0.000000000
25.000,194.172,0.000000000
25.500,194.788,0.000000000
26.000,195.560,0.000000000
26.500,196.313,0.000000000
27.000,196.890,0.000000000
27.500,197.164,0.000000000
28.000,197.057,0.000000000
28.500,196.309,0.000000000
