#Frequency,Velocity,Velstd
6.500,281.895,0.000000000
7.000,286.085,0.000000000
7.500,303.459,0.000000000
8.000,305.930,0.000000000
8.500,288.806,0.000000000
9.000,261.796,0.000000000
9.500,232.866,0.000000000
10.000,202.507,0.000000000
10.500,184.017,0.000000000
11.000,169.570,0.000000000
11.500,159.267,0.000000000
12.000,149.815,0.000000000
12.500,140.097,0.000000000
13.000,132.698,0.000000000
13.500,127.316,0.000000000
14.000,123.184,0.000000000
14.500,119.767,0.000000000
15.000,117.340,0.000000000
15.500,115.179,0.000000000
16.000,113.078,0.000000000
16.500,110.872,0.000000000
17.000,108.953,0.000000000
17.500,107.479,0.000000000
18.000,106.221,0.000000000
18.500,105.020,0.000000000
19.000,104.146,0.000000000
19.500,103.317,0.000000000
20.000,102.748,0.000000000
20.500,102.435,0.000000000
21.000,102.384,0.000000000
21.500,102.528,0.000000000
22.000,102.694,0.000000000
22.500,103.934,0.000000000
23.000,104.741,0.000000000
23.500,105.931,0.000000000
24.000,107.041,0.000000000
24.500,108.149,0.000000000
25.000,108.393,0.000000000
25.500,112.507,0.000000000
26.000,134.346,0.000000000
26.500,156.150,0.000000000
27.000,177.955,0.000000000
27.500,199.551,0.000000000
28.000,214.553,0.000000000
28.500,209.693,0.000000000
