#Frequency,Velocity,Velstd
6.500,284.827,0.000000000
7.000,322.778,0.000000000
7.500,362.550,0.000000000
8.000,402.323,0.000000000
8.500,417.882,0.000000000
9.000,387.592,0.000000000
9.500,346.097,0.000000000
10.000,301.950,0.000000000
10.500,255.659,0.000000000
11.000,231.124,0.000000000
11.500,216.093,0.000000000
12.000,206.537,0.000000000
12.500,196.444,0.000000000
13.000,184.885,0.000000000
13.500,174.695,0.000000000
14.000,164.769,0.000000000
14.500,155.467,0.000000000
15.000,149.034,0.000000000
15.500,145.675,0.000000000
16.000,142.731,0.000000000
16.500,139.927,0.000000000
17.000,138.056,0.000000000
17.500,135.721,0.000000000
18.000,131.094,0.000000000
18.500,125.617,0.000000000
19.000,120.262,0.000000000
19.500,115.017,0.000000000
20.000,110.553,0.000000000
20.500,109.056,0.000000000
21.000,109.317,0.000000000
21.500,109.995,0.000000000
22.000,110.903,0.000000000
22.500,111.999,0.000000000
23.000,112.996,0.000000000
23.500,113.933,0.000000000
24.000,114.565,0.000000000
24.500,114.967,0.000000000
25.000,115.181,0.000000000
25.500,116.137,0.000000000
26.000,116.955,0.000000000
26.500,117.923,0.000000000
27.000,120.250,0.000000000
27.500,124.095,0.000000000
28.000,127.205,0.000000000
28.500,136.694,0.000000000
