#Frequency,Velocity,Velstd
6.500,388.678,0.000000000
7.000,316.171,0.000000000
7.500,306.076,0.000000000
8.000,294.704,0.000000000
8.500,284.310,0.000000000
9.000,273.533,0.000000000
9.500,261.603,0.000000000
10.000,247.240,0.000000000
10.500,232.479,0.000000000
11.000,224.037,0.000000000
11.500,215.799,0.000000000
12.000,209.022,0.000000000
12.500,205.549,0.000000000
13.000,202.105,0.000000000
13.500,196.521,0.000000000
14.000,191.281,0.000000000
14.500,184.770,0.000000000
15.000,177.385,0.000000000
15.500,170.683,0.000000000
16.000,165.915,0.000000000
16.500,161.477,0.000000000
17.000,158.195,0.000000000
17.500,155.950,0.000000000
18.000,154.386,0.000000000
18.500,153.029,0.000000000
19.000,151.478,0.000000000
19.500,150.364,0.000000000
20.000,149.959,0.000000000
20.500,149.669,0.000000000
21.000,149.326,0.000000000
21.500,149.182,0.000000000
22.000,148.249,0.000000000
22.500,146.739,0.000000000
23.000,145.090,0.000000000
23.500,142.929,0.000000000
24.000,140.227,0.000000000
24.500,137.705,0.000000000
25.000,135.598,0.000000000
25.500,133.793,0.000000000
26.000,136.511,0.000000000
26.500,140.926,0.000000000
27.000,147.117,0.000000000
27.500,153.308,0.000000000
28.000,160.889,0.000000000
28.500,167.183,0.000000000
