#Frequency,Velocity,Velstd
6.500,181.676,0.000000000
7.000,194.489,0.000000000
7.500,202.047,0.000000000
8.000,203.894,0.000000000
8.500,203.039,0.000000000
9.000,197.686,0.000000000
9.500,192.191,0.000000000
10.000,184.365,0.000000000
10.500,175.509,0.000000000
11.000,165.630,0.000000000
11.500,155.893,0.000000000
12.000,149.398,0.000000000
12.500,144.280,0.000000000
13.000,138.838,0.000000000
13.500,134.055,0.000000000
14.000,129.582,0.000000000
14.500,124.743,0.000000000
15.000,120.455,0.000000000
15.500,117.035,0.000000000
16.000,114.310,0.000000000
16.500,111.870,0.000000000
17.000,110.099,0.000000000
17.500,108.717,0.000000000
18.000,107.423,0.000000000
18.500,106.293,0.000000000
19.000,105.303,0.000000000
19.500,104.317,0.000000000
20.000,103.411,0.000000000
20.500,102.849,0.000000000
21.000,102.571,0.000000000
21.500,102.496,0.000000000
22.000,102.474,0.000000000
22.500,102.469,0.000000000
23.000,102.590,0.000000000
23.500,102.945,0.000000000
24.000,103.436,0.000000000
24.500,104.167,0.000000000
25.000,105.146,0.000000000
25.500,110.560,0.000000000
26.000,116.234,0.000000000
26.500,122.316,0.000000000
27.000,128.118,0.000000000
27.500,134.680,0.000000000
28.000,137.126,0.000000000
28.500,141.712,0.000000000
