#Frequency,Velocity,Velstd
6.500,288.938,0.000000000
7.000,326.912,0.000000000
7.500,367.175,0.000000000
8.000,378.018,0.000000000
8.500,358.534,0.000000000
9.000,314.334,0.000000000
9.500,267.871,0.000000000
10.000,218.800,0.000000000
10.500,196.651,0.000000000
11.000,181.509,0.000000000
11.500,170.320,0.000000000
12.000,159.638,0.000000000
12.500,150.186,0.000000000
13.000,142.448,0.000000000
13.500,136.127,0.000000000
14.000,130.914,0.000000000
14.500,127.032,0.000000000
15.000,123.973,0.000000000
15.500,121.218,0.000000000
16.000,118.992,0.000000000
16.500,116.920,0.000000000
17.000,115.157,0.000000000
17.500,113.779,0.000000000
18.000,112.865,0.000000000
18.500,112.345,0.000000000
19.000,111.759,0.000000000
19.500,111.262,0.000000000
20.000,110.800,0.000000000
20.500,110.352,0.000000000
21.000,109.869,0.000000000
21.500,109.618,0.000000000
22.000,109.481,0.000000000
22.500,109.227,0.000000000
23.000,108.912,0.000000000
23.500,108.633,0.000000000
24.000,108.557,0.000000000
24.500,108.394,0.000000000
25.000,108.692,0.000000000
25.500,110.186,0.000000000
26.000,160.534,0.000000000
26.500,213.267,0.000000000
27.000,270.317,0.000000000
27.500,327.161,0.000000000
28.000,391.406,0.000000000
28.500,429.967,0.000000000
