#Frequency,Velocity,Velstd
6.500,388.984,0.000000000
7.000,320.938,0.000000000
7.500,293.532,0.000000000
8.000,280.351,0.000000000
8.500,267.169,0.000000000
9.000,262.334,0.000000000
9.500,251.063,0.000000000
10.000,238.275,0.000000000
10.500,223.353,0.000000000
11.000,207.052,0.000000000
11.500,192.692,0.000000000
12.000,180.931,0.000000000
12.500,170.185,0.000000000
13.000,162.805,0.000000000
13.500,155.984,0.000000000
14.000,150.308,0.000000000
14.500,148.039,0.000000000
15.000,145.409,0.000000000
15.500,142.379,0.000000000
16.000,139.538,0.000000000
16.500,136.126,0.000000000
17.000,132.772,0.000000000
17.500,129.845,0.000000000
18.000,126.837,0.000000000
18.500,123.522,0.000000000
19.000,120.778,0.000000000
19.500,118.043,0.000000000
20.000,115.745,0.000000000
20.500,114.748,0.000000000
21.000,115.163,0.000000000
21.500,115.615,0.000000000
22.000,116.798,0.000000000
22.500,118.156,0.000000000
23.000,119.336,0.000000000
23.500,120.148,0.000000000
24.000,121.021,0.000000000
24.500,121.584,0.000000000
25.000,121.972,0.000000000
25.500,122.488,0.000000000
26.000,122.899,0.000000000
26.500,123.547,0.000000000
27.000,124.984,0.000000000
27.500,127.947,0.000000000
28.000,130.703,0.000000000
28.500,135.185,0.000000000
