#Frequency,Velocity,Velstd
6.500,430.409,0.000000000
7.000,462.832,0.000000000
7.500,442.341,0.000000000
8.000,412.583,0.000000000
8.500,370.225,0.000000000
9.000,326.095,0.000000000
9.500,285.513,0.000000000
10.000,256.400,0.000000000
10.500,229.782,0.000000000
11.000,212.741,0.000000000
11.500,202.591,0.000000000
12.000,192.724,0.000000000
12.500,186.199,0.000000000
13.000,178.357,0.000000000
13.500,171.654,0.000000000
14.000,165.450,0.000000000
14.500,158.177,0.000000000
15.000,151.591,0.000000000
15.500,146.390,0.000000000
16.000,142.574,0.000000000
16.500,139.077,0.000000000
17.000,136.432,0.000000000
17.500,134.656,0.000000000
18.000,133.414,0.000000000
18.500,132.671,0.000000000
19.000,132.584,0.000000000
19.500,132.857,0.000000000
20.000,133.279,0.000000000
20.500,133.165,0.000000000
21.000,132.836,0.000000000
21.500,131.308,0.000000000
22.000,128.902,0.000000000
22.500,126.120,0.000000000
23.000,123.831,0.000000000
23.500,121.471,0.000000000
24.000,119.723,0.000000000
24.500,118.853,0.000000000
25.000,118.358,0.000000000
25.500,118.493,0.000000000
26.000,131.351,0.000000000
26.500,146.037,0.000000000
27.000,163.162,0.000000000
27.500,180.287,0.000000000
28.000,200.742,0.000000000
28.500,219.209,0.000000000
