#Frequency,Velocity,Velstd
6.500,254.667,0.000000000
7.000,261.766,0.000000000
7.500,268.866,0.000000000
8.000,266.466,0.000000000
8.500,261.803,0.000000000
9.000,251.536,0.000000000
9.500,231.339,0.000000000
10.000,211.142,0.000000000
10.500,193.134,0.000000000
11.000,176.655,0.000000000
11.500,163.362,0.000000000
12.000,158.395,0.000000000
12.500,152.714,0.000000000
13.000,147.553,0.000000000
13.500,142.570,0.000000000
14.000,138.322,0.000000000
14.500,134.360,0.000000000
15.000,130.815,0.000000000
15.500,127.667,0.000000000
16.000,124.583,0.000000000
16.500,122.464,0.000000000
17.000,121.662,0.000000000
17.500,120.610,0.000000000
18.000,119.430,0.000000000
18.500,118.664,0.000000000
19.000,117.887,0.000000000
19.500,116.435,0.000000000
20.000,115.169,0.000000000
20.500,114.049,0.000000000
21.000,113.003,0.000000000
21.500,112.454,0.000000000
22.000,112.961,0.000000000
22.500,120.867,0.000000000
23.000,121.733,0.000000000
23.500,129.233,0.000000000
24.000,136.250,0.000000000
24.500,141.492,0.000000000
25.000,136.881,0.000000000
25.500,139.311,0.000000000
26.000,135.105,0.000000000
26.500,133.713,0.000000000
27.000,151.593,0.000000000
27.500,174.961,0.000000000
28.000,198.329,0.000000000
28.500,219.022,0.000000000
