#Frequency,Velocity,Velstd
6.500,244.289,0.000000000
7.000,283.088,0.000000000
7.500,314.978,0.000000000
8.000,327.824,0.000000000
8.500,332.464,0.000000000
9.000,322.694,0.000000000
9.500,309.704,0.000000000
10.000,290.864,0.000000000
10.500,264.696,0.000000000
11.000,233.324,0.000000000
11.500,213.061,0.000000000
12.000,194.755,0.000000000
12.500,181.779,0.000000000
13.000,171.251,0.000000000
13.500,165.648,0.000000000
14.000,160.797,0.000000000
14.500,155.716,0.000000000
15.000,149.117,0.000000000
15.500,141.823,0.000000000
16.000,134.809,0.000000000
16.500,130.342,0.000000000
17.000,125.882,0.000000000
17.500,124.160,0.000000000
18.000,125.729,0.000000000
18.500,124.942,0.000000000
19.000,124.154,0.000000000
19.500,124.854,0.000000000
20.000,124.665,0.000000000
20.500,121.451,0.000000000
21.000,120.494,0.000000000
21.500,119.537,0.000000000
22.000,118.580,0.000000000
22.500,117.997,0.000000000
23.000,118.371,0.000000000
23.500,119.314,0.000000000
24.000,120.926,0.000000000
24.500,123.604,0.000000000
25.000,127.030,0.000000000
25.500,133.282,0.000000000
26.000,139.064,0.000000000
26.500,144.197,0.000000000
27.000,148.265,0.000000000
27.500,151.655,0.000000000
28.000,153.506,0.000000000
28.500,157.805,0.000000000
