#Frequency,Velocity,Velstd
6.500,787.092,0.000000000
7.000,733.528,0.000000000
7.500,644.127,0.000000000
8.000,580.862,0.000000000
8.500,515.343,0.000000000
9.000,453.448,0.000000000
9.500,383.157,0.000000000
10.000,346.289,0.000000000
10.500,302.440,0.000000000
11.000,256.789,0.000000000
11.500,217.598,0.000000000
12.000,194.267,0.000000000
12.500,172.849,0.000000000
13.000,159.291,0.000000000
13.500,150.148,0.000000000
14.000,144.174,0.000000000
14.500,141.985,0.000000000
15.000,139.886,0.000000000
15.500,137.082,0.000000000
16.000,134.300,0.000000000
16.500,131.246,0.000000000
17.000,128.741,0.000000000
17.500,126.142,0.000000000
18.000,123.732,0.000000000
18.500,121.811,0.000000000
19.000,119.897,0.000000000
19.500,118.084,0.000000000
20.000,116.773,0.000000000
20.500,116.205,0.000000000
21.000,115.941,0.000000000
21.500,116.387,0.000000000
22.000,117.088,0.000000000
22.500,117.810,0.000000000
23.000,118.391,0.000000000
23.500,119.471,0.000000000
24.000,120.104,0.000000000
24.500,120.402,0.000000000
25.000,120.677,0.000000000
25.500,121.288,0.000000000
26.000,121.380,0.000000000
26.500,121.795,0.000000000
27.000,123.227,0.000000000
27.500,127.512,0.000000000
28.000,131.463,0.000000000
28.500,135.413,0.000000000
