#Frequency,Velocity,Velstd
6.500,218.185,0.000000000
7.000,247.768,0.000000000
7.500,282.241,0.000000000
8.000,306.225,0.000000000
8.500,314.696,0.000000000
9.000,285.945,0.000000000
9.500,254.758,0.000000000
10.000,221.540,0.000000000
10.500,195.439,0.000000000
11.000,176.905,0.000000000
11.500,163.738,0.000000000
12.000,152.172,0.000000000
12.500,141.792,0.000000000
13.000,133.989,0.000000000
13.500,128.485,0.000000000
14.000,124.832,0.000000000
14.500,121.777,0.000000000
15.000,119.053,0.000000000
15.500,116.654,0.000000000
16.000,114.701,0.000000000
16.500,112.840,0.000000000
17.000,110.998,0.000000000
17.500,109.395,0.000000000
18.000,107.984,0.000000000
18.500,106.658,0.000000000
19.000,105.538,0.000000000
19.500,104.566,0.000000000
20.000,103.853,0.000000000
20.500,103.419,0.000000000
21.000,103.210,0.000000000
21.500,103.172,0.000000000
22.000,103.212,0.000000000
22.500,103.915,0.000000000
23.000,104.493,0.000000000
23.500,105.196,0.000000000
24.000,106.127,0.000000000
24.500,107.052,0.000000000
25.000,107.353,0.000000000
25.500,109.849,0.000000000
26.000,165.976,0.000000000
26.500,221.826,0.000000000
27.000,277.675,0.000000000
27.500,317.320,0.000000000
28.000,353.135,0.000000000
28.500,329.139,0.000000000
