#Frequency,Velocity,Velstd
6.500,279.765,0.000000000
7.000,280.853,0.000000000
7.500,278.882,0.000000000
8.000,276.138,0.000000000
8.500,272.944,0.000000000
9.000,267.000,0.000000000
9.500,260.546,0.000000000
10.000,252.705,0.000000000
10.500,243.920,0.000000000
11.000,235.537,0.000000000
11.500,228.754,0.000000000
12.000,222.466,0.000000000
12.500,218.053,0.000000000
13.000,213.457,0.000000000
13.500,207.365,0.000000000
14.000,201.369,0.000000000
14.500,193.463,0.000000000
15.000,183.723,0.000000000
15.500,175.881,0.000000000
16.000,170.215,0.000000000
16.500,164.806,0.000000000
17.000,162.155,0.000000000
17.500,162.190,0.000000000
18.000,161.427,0.000000000
18.500,160.073,0.000000000
19.000,158.587,0.000000000
19.500,157.101,0.000000000
20.000,155.615,0.000000000
20.500,154.997,0.000000000
21.000,156.004,0.000000000
21.500,157.996,0.000000000
22.000,159.988,0.000000000
22.500,161.980,0.000000000
23.000,163.618,0.000000000
23.500,162.986,0.000000000
24.000,160.040,0.000000000
24.500,156.065,0.000000000
25.000,152.091,0.000000000
25.500,148.403,0.000000000
26.000,146.645,0.000000000
26.500,147.139,0.000000000
27.000,149.481,0.000000000
27.500,151.823,0.000000000
28.000,154.871,0.000000000
28.500,158.443,0.000000000
