#Frequency,Velocity,Velstd
6.500,334.421,0.000000000
7.000,346.153,0.000000000
7.500,398.123,0.000000000
8.000,422.629,0.000000000
8.500,391.724,0.000000000
9.000,343.453,0.000000000
9.500,291.984,0.000000000
10.000,237.114,0.000000000
10.500,205.253,0.000000000
11.000,185.659,0.000000000
11.500,169.844,0.000000000
12.000,155.732,0.000000000
12.500,143.847,0.000000000
13.000,135.703,0.000000000
13.500,129.696,0.000000000
14.000,125.160,0.000000000
14.500,121.717,0.000000000
15.000,118.904,0.000000000
15.500,116.355,0.000000000
16.000,114.305,0.000000000
16.500,112.413,0.000000000
17.000,110.729,0.000000000
17.500,109.349,0.000000000
18.000,108.144,0.000000000
18.500,107.144,0.000000000
19.000,106.352,0.000000000
19.500,105.715,0.000000000
20.000,105.358,0.000000000
20.500,105.274,0.000000000
21.000,105.268,0.000000000
21.500,105.280,0.000000000
22.000,105.355,0.000000000
22.500,105.496,0.000000000
23.000,105.637,0.000000000
23.500,105.817,0.000000000
24.000,106.235,0.000000000
24.500,106.628,0.000000000
25.000,107.048,0.000000000
25.500,108.873,0.000000000
26.000,674.488,0.000000000
26.500,1277.451,0.000000000
27.000,1886.891,0.000000000
27.500,2508.122,0.000000000
28.000,3308.870,0.000000000
28.500,4014.236,0.000000000
