#Frequency,Velocity,Velstd
6.500,422.053,0.000000000
7.000,386.433,0.000000000
7.500,348.563,0.000000000
8.000,314.465,0.000000000
8.500,278.158,0.000000000
9.000,271.948,0.000000000
9.500,273.510,0.000000000
10.000,271.222,0.000000000
10.500,263.367,0.000000000
11.000,255.620,0.000000000
11.500,247.873,0.000000000
12.000,239.805,0.000000000
12.500,234.862,0.000000000
13.000,229.603,0.000000000
13.500,225.997,0.000000000
14.000,221.148,0.000000000
14.500,214.701,0.000000000
15.000,208.981,0.000000000
15.500,205.371,0.000000000
16.000,202.522,0.000000000
16.500,200.917,0.000000000
17.000,201.229,0.000000000
17.500,199.421,0.000000000
18.000,195.485,0.000000000
18.500,190.468,0.000000000
19.000,185.450,0.000000000
19.500,180.432,0.000000000
20.000,177.420,0.000000000
20.500,176.876,0.000000000
21.000,177.241,0.000000000
21.500,178.809,0.000000000
22.000,181.458,0.000000000
22.500,184.221,0.000000000
23.000,186.642,0.000000000
23.500,188.579,0.000000000
24.000,188.665,0.000000000
24.500,187.577,0.000000000
25.000,186.016,0.000000000
25.500,184.002,0.000000000
26.000,182.109,0.000000000
26.500,180.812,0.000000000
27.000,179.356,0.000000000
27.500,177.952,0.000000000
28.000,175.575,0.000000000
28.500,173.063,0.000000000
