#Frequency,Velocity,Velstd
6.500,995.869,0.000000000
7.000,864.336,0.000000000
7.500,731.936,0.000000000
8.000,588.997,0.000000000
8.500,433.549,0.000000000
9.000,378.175,0.000000000
9.500,354.313,0.000000000
10.000,324.726,0.000000000
10.500,303.637,0.000000000
11.000,292.953,0.000000000
11.500,282.325,0.000000000
12.000,272.301,0.000000000
12.500,268.263,0.000000000
13.000,265.769,0.000000000
13.500,262.118,0.000000000
14.000,258.322,0.000000000
14.500,252.674,0.000000000
15.000,247.330,0.000000000
15.500,241.153,0.000000000
16.000,238.237,0.000000000
16.500,235.345,0.000000000
17.000,233.777,0.000000000
17.500,232.451,0.000000000
18.000,231.953,0.000000000
18.500,231.408,0.000000000
19.000,230.678,0.000000000
19.500,229.626,0.000000000
20.000,228.301,0.000000000
20.500,226.398,0.000000000
21.000,224.408,0.000000000
21.500,222.298,0.000000000
22.000,220.387,0.000000000
22.500,218.710,0.000000000
23.000,217.357,0.000000000
23.500,215.671,0.000000000
24.000,214.055,0.000000000
24.500,212.618,0.000000000
25.000,211.067,0.000000000
25.500,209.540,0.000000000
26.000,208.271,0.000000000
26.500,207.138,0.000000000
27.000,205.888,0.000000000
27.500,204.670,0.000000000
28.000,203.686,0.000000000
28.500,202.913,0.000000000
