#Frequency,Velocity,Velstd
6.500,257.963,0.000000000
7.000,293.090,0.000000000
7.500,297.715,0.000000000
8.000,274.944,0.000000000
8.500,264.665,0.000000000
9.000,245.561,0.000000000
9.500,222.911,0.000000000
10.000,204.106,0.000000000
10.500,185.663,0.000000000
11.000,172.708,0.000000000
11.500,161.013,0.000000000
12.000,151.034,0.000000000
12.500,142.090,0.000000000
13.000,134.649,0.000000000
13.500,129.100,0.000000000
14.000,124.425,0.000000000
14.500,121.145,0.000000000
15.000,118.621,0.000000000
15.500,116.417,0.000000000
16.000,114.249,0.000000000
16.500,112.480,0.000000000
17.000,110.959,0.000000000
17.500,110.050,0.000000000
18.000,109.552,0.000000000
18.500,109.003,0.000000000
19.000,108.192,0.000000000
19.500,107.430,0.000000000
20.000,106.647,0.000000000
20.500,105.650,0.000000000
21.000,104.621,0.000000000
21.500,103.748,0.000000000
22.000,103.012,0.000000000
22.500,102.343,0.000000000
23.000,102.105,0.000000000
23.500,103.001,0.000000000
24.000,104.161,0.000000000
24.500,105.477,0.000000000
25.000,108.394,0.000000000
25.500,2960.926,0.000000000
26.000,6035.491,0.000000000
26.500,9237.058,0.000000000
27.000,12311.307,0.000000000
27.500,15161.128,0.000000000
28.000,15100.175,0.000000000
28.500,14090.539,0.000000000
