#Frequency,Velocity,Velstd
6.500,277.171,0.000000000
7.000,315.263,0.000000000
7.500,353.355,0.000000000
8.000,385.464,0.000000000
8.500,378.164,0.000000000
9.000,366.498,0.000000000
9.500,348.330,0.000000000
10.000,319.315,0.000000000
10.500,288.557,0.000000000
11.000,263.121,0.000000000
11.500,241.972,0.000000000
12.000,222.882,0.000000000
12.500,213.009,0.000000000
13.000,203.134,0.000000000
13.500,191.534,0.000000000
14.000,177.357,0.000000000
14.500,165.954,0.000000000
15.000,155.394,0.000000000
15.500,147.128,0.000000000
16.000,141.134,0.000000000
16.500,137.796,0.000000000
17.000,135.149,0.000000000
17.500,132.464,0.000000000
18.000,131.738,0.000000000
18.500,129.934,0.000000000
19.000,127.867,0.000000000
19.500,126.272,0.000000000
20.000,125.061,0.000000000
20.500,122.643,0.000000000
21.000,120.629,0.000000000
21.500,118.878,0.000000000
22.000,117.632,0.000000000
22.500,118.651,0.000000000
23.000,121.490,0.000000000
23.500,125.678,0.000000000
24.000,129.960,0.000000000
24.500,134.884,0.000000000
25.000,140.834,0.000000000
25.500,149.671,0.000000000
26.000,158.492,0.000000000
26.500,169.066,0.000000000
27.000,179.585,0.000000000
27.500,195.023,0.000000000
28.000,218.251,0.000000000
28.500,240.819,0.000000000
