#Frequency,Velocity,Velstd
6.500,274.807,0.000000000
7.000,309.965,0.000000000
7.500,319.640,0.000000000
8.000,289.999,0.000000000
8.500,273.706,0.000000000
9.000,254.415,0.000000000
9.500,231.388,0.000000000
10.000,206.250,0.000000000
10.500,188.874,0.000000000
11.000,175.577,0.000000000
11.500,164.019,0.000000000
12.000,154.255,0.000000000
12.500,145.235,0.000000000
13.000,137.468,0.000000000
13.500,131.414,0.000000000
14.000,126.153,0.000000000
14.500,122.306,0.000000000
15.000,119.400,0.000000000
15.500,117.032,0.000000000
16.000,114.813,0.000000000
16.500,113.060,0.000000000
17.000,111.550,0.000000000
17.500,110.572,0.000000000
18.000,109.782,0.000000000
18.500,108.990,0.000000000
19.000,107.964,0.000000000
19.500,107.104,0.000000000
20.000,106.195,0.000000000
20.500,105.258,0.000000000
21.000,104.309,0.000000000
21.500,103.468,0.000000000
22.000,102.748,0.000000000
22.500,102.110,0.000000000
23.000,101.880,0.000000000
23.500,102.692,0.000000000
24.000,103.698,0.000000000
24.500,104.954,0.000000000
25.000,107.540,0.000000000
25.500,209.995,0.000000000
26.000,315.789,0.000000000
26.500,425.349,0.000000000
27.000,534.658,0.000000000
27.500,642.637,0.000000000
28.000,653.074,0.000000000
28.500,662.194,0.000000000
