#Frequency,Velocity,Velstd
6.500,317.603,0.000000000
7.000,339.140,0.000000000
7.500,309.954,0.000000000
8.000,280.472,0.000000000
8.500,264.778,0.000000000
9.000,244.797,0.000000000
9.500,223.651,0.000000000
10.000,211.755,0.000000000
10.500,197.637,0.000000000
11.000,181.960,0.000000000
11.500,171.204,0.000000000
12.000,158.730,0.000000000
12.500,147.430,0.000000000
13.000,138.335,0.000000000
13.500,130.737,0.000000000
14.000,124.868,0.000000000
14.500,121.046,0.000000000
15.000,118.602,0.000000000
15.500,115.382,0.000000000
16.000,112.196,0.000000000
16.500,108.497,0.000000000
17.000,105.114,0.000000000
17.500,102.474,0.000000000
18.000,100.923,0.000000000
18.500,99.400,0.000000000
19.000,98.532,0.000000000
19.500,98.243,0.000000000
20.000,98.565,0.000000000
20.500,98.962,0.000000000
21.000,99.506,0.000000000
21.500,100.261,0.000000000
22.000,101.172,0.000000000
22.500,102.015,0.000000000
23.000,102.796,0.000000000
23.500,104.630,0.000000000
24.000,107.140,0.000000000
24.500,110.273,0.000000000
25.000,113.956,0.000000000
25.500,119.868,0.000000000
26.000,125.722,0.000000000
26.500,130.690,0.000000000
27.000,134.819,0.000000000
27.500,138.921,0.000000000
28.000,141.483,0.000000000
28.500,143.911,0.000000000
