#Frequency,Velocity,Velstd
6.500,223.934,0.000000000
7.000,271.054,0.000000000
7.500,313.402,0.000000000
8.000,321.653,0.000000000
8.500,325.234,0.000000000
9.000,293.163,0.000000000
9.500,256.344,0.000000000
10.000,216.948,0.000000000
10.500,196.954,0.000000000
11.000,179.468,0.000000000
11.500,167.163,0.000000000
12.000,157.843,0.000000000
12.500,149.446,0.000000000
13.000,141.411,0.000000000
13.500,134.686,0.000000000
14.000,128.417,0.000000000
14.500,123.210,0.000000000
15.000,119.354,0.000000000
15.500,116.762,0.000000000
16.000,114.709,0.000000000
16.500,112.827,0.000000000
17.000,111.497,0.000000000
17.500,110.426,0.000000000
18.000,109.093,0.000000000
18.500,107.844,0.000000000
19.000,106.824,0.000000000
19.500,105.879,0.000000000
20.000,104.876,0.000000000
20.500,104.128,0.000000000
21.000,103.423,0.000000000
21.500,102.722,0.000000000
22.000,102.092,0.000000000
22.500,101.564,0.000000000
23.000,101.349,0.000000000
23.500,101.776,0.000000000
24.000,102.534,0.000000000
24.500,103.629,0.000000000
25.000,105.422,0.000000000
25.500,120.581,0.000000000
26.000,136.473,0.000000000
26.500,153.358,0.000000000
27.000,169.905,0.000000000
27.500,185.755,0.000000000
28.000,189.057,0.000000000
28.500,192.669,0.000000000
