#Frequency,Velocity,Velstd
6.500,231.312,0.000000000
7.000,254.240,0.000000000
7.500,265.008,0.000000000
8.000,271.161,0.000000000
8.500,263.369,0.000000000
9.000,252.306,0.000000000
9.500,235.953,0.000000000
10.000,218.613,0.000000000
10.500,199.741,0.000000000
11.000,184.743,0.000000000
11.500,172.132,0.000000000
12.000,164.580,0.000000000
12.500,158.238,0.000000000
13.000,151.493,0.000000000
13.500,145.372,0.000000000
14.000,139.716,0.000000000
14.500,134.014,0.000000000
15.000,129.396,0.000000000
15.500,126.166,0.000000000
16.000,123.505,0.000000000
16.500,121.037,0.000000000
17.000,119.216,0.000000000
17.500,117.604,0.000000000
18.000,115.341,0.000000000
18.500,112.880,0.000000000
19.000,110.517,0.000000000
19.500,108.244,0.000000000
20.000,106.183,0.000000000
20.500,105.323,0.000000000
21.000,105.261,0.000000000
21.500,105.475,0.000000000
22.000,105.822,0.000000000
22.500,106.223,0.000000000
23.000,106.769,0.000000000
23.500,107.369,0.000000000
24.000,107.894,0.000000000
24.500,108.455,0.000000000
25.000,108.977,0.000000000
25.500,112.274,0.000000000
26.000,115.781,0.000000000
26.500,119.454,0.000000000
27.000,123.707,0.000000000
27.500,129.247,0.000000000
28.000,132.028,0.000000000
28.500,139.011,0.000000000
