#Frequency,Velocity,Velstd
6.500,512.686,0.000000000
7.000,516.248,0.000000000
7.500,504.829,0.000000000
8.000,470.996,0.000000000
8.500,426.494,0.000000000
9.000,383.265,0.000000000
9.500,332.479,0.000000000
10.000,294.933,0.000000000
10.500,269.992,0.000000000
11.000,263.277,0.000000000
11.500,257.044,0.000000000
12.000,258.367,0.000000000
12.500,260.182,0.000000000
13.000,259.891,0.000000000
13.500,250.254,0.000000000
14.000,245.385,0.000000000
14.500,239.610,0.000000000
15.000,233.835,0.000000000
15.500,229.674,0.000000000
16.000,227.302,0.000000000
16.500,226.098,0.000000000
17.000,224.881,0.000000000
17.500,221.430,0.000000000
18.000,217.377,0.000000000
18.500,212.920,0.000000000
19.000,208.717,0.000000000
19.500,205.011,0.000000000
20.000,203.516,0.000000000
20.500,202.591,0.000000000
21.000,202.070,0.000000000
21.500,201.138,0.000000000
22.000,200.515,0.000000000
22.500,199.898,0.000000000
23.000,199.313,0.000000000
23.500,198.746,0.000000000
24.000,198.632,0.000000000
24.500,198.539,0.000000000
25.000,198.463,0.000000000
25.500,197.512,0.000000000
26.000,196.485,0.000000000
26.500,195.458,0.000000000
27.000,194.524,0.000000000
27.500,194.126,0.000000000
28.000,194.672,0.000000000
28.500,195.759,0.000000000
