#Frequency,Velocity,Velstd
6.500,248.039,0.000000000
7.000,272.973,0.000000000
7.500,297.907,0.000000000
8.000,322.504,0.000000000
8.500,326.968,0.000000000
9.000,298.616,0.000000000
9.500,265.026,0.000000000
10.000,230.771,0.000000000
10.500,192.963,0.000000000
11.000,164.859,0.000000000
11.500,152.424,0.000000000
12.000,144.623,0.000000000
12.500,135.318,0.000000000
13.000,129.902,0.000000000
13.500,126.604,0.000000000
14.000,124.168,0.000000000
14.500,121.998,0.000000000
15.000,120.491,0.000000000
15.500,118.823,0.000000000
16.000,116.862,0.000000000
16.500,114.848,0.000000000
17.000,112.834,0.000000000
17.500,111.964,0.000000000
18.000,110.845,0.000000000
18.500,109.523,0.000000000
19.000,108.035,0.000000000
19.500,106.368,0.000000000
20.000,105.034,0.000000000
20.500,104.108,0.000000000
21.000,103.711,0.000000000
21.500,103.705,0.000000000
22.000,103.900,0.000000000
22.500,108.039,0.000000000
23.000,109.364,0.000000000
23.500,112.397,0.000000000
24.000,115.258,0.000000000
24.500,118.097,0.000000000
25.000,117.023,0.000000000
25.500,124.002,0.000000000
26.000,131.338,0.000000000
26.500,138.674,0.000000000
27.000,145.652,0.000000000
27.500,152.630,0.000000000
28.000,154.369,0.000000000
28.500,153.455,0.000000000
