#Frequency,Velocity,Velstd
6.500,334.704,0.000000000
7.000,356.885,0.000000000
7.500,379.066,0.000000000
8.000,382.964,0.000000000
8.500,349.134,0.000000000
9.000,305.004,0.000000000
9.500,268.711,0.000000000
10.000,229.730,0.000000000
10.500,204.205,0.000000000
11.000,180.874,0.000000000
11.500,166.253,0.000000000
12.000,154.164,0.000000000
12.500,142.350,0.000000000
13.000,134.054,0.000000000
13.500,128.356,0.000000000
14.000,124.042,0.000000000
14.500,120.306,0.000000000
15.000,117.976,0.000000000
15.500,115.792,0.000000000
16.000,113.480,0.000000000
16.500,110.909,0.000000000
17.000,108.728,0.000000000
17.500,107.288,0.000000000
18.000,106.151,0.000000000
18.500,104.886,0.000000000
19.000,104.021,0.000000000
19.500,103.175,0.000000000
20.000,102.573,0.000000000
20.500,102.232,0.000000000
21.000,102.174,0.000000000
21.500,102.371,0.000000000
22.000,102.573,0.000000000
22.500,104.510,0.000000000
23.000,105.542,0.000000000
23.500,107.451,0.000000000
24.000,109.171,0.000000000
24.500,110.885,0.000000000
25.000,110.929,0.000000000
25.500,117.716,0.000000000
26.000,127.010,0.000000000
26.500,136.576,0.000000000
27.000,146.142,0.000000000
27.500,155.665,0.000000000
28.000,159.329,0.000000000
28.500,159.552,0.000000000
