#Frequency,Velocity,Velstd
6.500,160.308,0.000000000
7.000,169.359,0.000000000
7.500,187.368,0.000000000
8.000,202.474,0.000000000
8.500,215.933,0.000000000
9.000,224.277,0.000000000
9.500,228.530,0.000000000
10.000,214.557,0.000000000
10.500,198.617,0.000000000
11.000,180.094,0.000000000
11.500,165.131,0.000000000
12.000,153.829,0.000000000
12.500,146.471,0.000000000
13.000,139.685,0.000000000
13.500,134.467,0.000000000
14.000,129.522,0.000000000
14.500,124.359,0.000000000
15.000,120.117,0.000000000
15.500,116.926,0.000000000
16.000,114.334,0.000000000
16.500,112.032,0.000000000
17.000,110.217,0.000000000
17.500,108.796,0.000000000
18.000,107.397,0.000000000
18.500,106.179,0.000000000
19.000,105.184,0.000000000
19.500,104.288,0.000000000
20.000,103.393,0.000000000
20.500,102.707,0.000000000
21.000,102.207,0.000000000
21.500,101.902,0.000000000
22.000,101.658,0.000000000
22.500,101.492,0.000000000
23.000,101.537,0.000000000
23.500,101.929,0.000000000
24.000,102.507,0.000000000
24.500,103.386,0.000000000
25.000,104.662,0.000000000
25.500,111.827,0.000000000
26.000,119.553,0.000000000
26.500,127.170,0.000000000
27.000,134.488,0.000000000
27.500,142.175,0.000000000
28.000,144.441,0.000000000
28.500,147.324,0.000000000
