#Frequency,Velocity,Velstd
6.500,529.922,0.000000000
7.000,513.731,0.000000000
7.500,496.672,0.000000000
8.000,476.637,0.000000000
8.500,443.012,0.000000000
9.000,402.665,0.000000000
9.500,361.988,0.000000000
10.000,318.782,0.000000000
10.500,275.969,0.000000000
11.000,256.545,0.000000000
11.500,249.404,0.000000000
12.000,248.667,0.000000000
12.500,251.326,0.000000000
13.000,251.331,0.000000000
13.500,239.786,0.000000000
14.000,234.337,0.000000000
14.500,228.887,0.000000000
15.000,223.437,0.000000000
15.500,221.166,0.000000000
16.000,220.804,0.000000000
16.500,221.488,0.000000000
17.000,222.171,0.000000000
17.500,219.577,0.000000000
18.000,216.457,0.000000000
18.500,213.118,0.000000000
19.000,209.563,0.000000000
19.500,205.596,0.000000000
20.000,204.908,0.000000000
20.500,204.192,0.000000000
21.000,203.426,0.000000000
21.500,202.815,0.000000000
22.000,202.614,0.000000000
22.500,202.414,0.000000000
23.000,202.312,0.000000000
23.500,202.500,0.000000000
24.000,202.752,0.000000000
24.500,202.822,0.000000000
25.000,202.296,0.000000000
25.500,200.813,0.000000000
26.000,199.149,0.000000000
26.500,197.485,0.000000000
27.000,196.126,0.000000000
27.500,195.522,0.000000000
28.000,196.009,0.000000000
28.500,196.514,0.000000000
