#Frequency,Velocity,Velstd
6.500,465.284,0.000000000
7.000,464.223,0.000000000
7.500,452.419,0.000000000
8.000,406.638,0.000000000
8.500,360.188,0.000000000
9.000,307.285,0.000000000
9.500,283.960,0.000000000
10.000,258.265,0.000000000
10.500,242.609,0.000000000
11.000,227.622,0.000000000
11.500,217.572,0.000000000
12.000,209.239,0.000000000
12.500,205.876,0.000000000
13.000,201.091,0.000000000
13.500,193.491,0.000000000
14.000,186.868,0.000000000
14.500,178.293,0.000000000
15.000,168.521,0.000000000
15.500,160.803,0.000000000
16.000,155.444,0.000000000
16.500,150.456,0.000000000
17.000,146.848,0.000000000
17.500,144.225,0.000000000
18.000,142.376,0.000000000
18.500,140.982,0.000000000
19.000,140.073,0.000000000
19.500,139.779,0.000000000
20.000,140.097,0.000000000
20.500,140.225,0.000000000
21.000,140.268,0.000000000
21.500,139.431,0.000000000
22.000,137.497,0.000000000
22.500,135.080,0.000000000
23.000,132.697,0.000000000
23.500,130.040,0.000000000
24.000,127.545,0.000000000
24.500,126.149,0.000000000
25.000,125.235,0.000000000
25.500,124.591,0.000000000
26.000,131.944,0.000000000
26.500,141.347,0.000000000
27.000,152.556,0.000000000
27.500,163.765,0.000000000
28.000,177.243,0.000000000
28.500,188.099,0.000000000
