-4,0,0,0,1001;1002,1;1,48;48
0,0,0,1,-1,1,-1
2,0,0,1,-1,1,-1
4,0,0,1,1007;1008,1;1,48;48
6,0,0,1,-1,1,-1
8,0,0,1,-1,1,-1
10,0,0,1,-1,1,-1
12,0,0,1,1011;1012,1;1,48;48
14,0,0,1,-1,1,-1
16,0,0,1,-1,1,-1
18,0,0,1,-1,1,-1
20,0,0,1,1015;1016,1;1,48;48
22,0,0,1,-1,1,-1
24,0,0,1,-1,1,-1
26,0,0,1,-1,1,-1
28,0,0,1,1019;1020,1;1,48;48
30,0,0,1,-1,1,-1
32,0,0,1,-1,1,-1
34,0,0,1,-1,1,-1
36,0,0,1,1023;1024,1;1,48;48
38,0,0,1,-1,1,-1
40,0,0,1,-1,1,-1
42,0,0,1,-1,1,-1
44,0,0,1,1027;1028,1;1,48;48
46,0,0,1,-1,1,-1
48,0,0,1,-1,1,-1
50,0,0,1,-1,1,-1
52,0,0,1,1032;1033,1;1,48;48
54,0,0,1,-1,1,-1
56,0,0,1,-1,1,-1
58,0,0,1,-1,1,-1
60,0,0,1,1037;1038,1;1,48;48
62,0,0,1,-1,1,-1
64,0,0,1,-1,1,-1
66,0,0,1,-1,1,-1
68,0,0,1,1041;1042,1;1,48;48
70,0,0,1,-1,1,-1
72,0,0,1,-1,1,-1
74,0,0,1,-1,1,-1
76,0,0,1,1045;1046,1;1,48;48
78,0,0,1,-1,1,-1
80,0,0,1,-1,1,-1
82,0,0,1,-1,1,-1
84,0,0,1,1049;1050,1;1,48;48
86,0,0,1,-1,1,-1
88,0,0,1,-1,1,-1
90,0,0,1,-1,1,-1
92,0,0,1,1053;2001,1;48,48;48
94,0,0,1,-1,1,-1
96,0,0,1,-1,1,-1
98,0,0,1,-1,1,-1
100,0,0,1,1057;2006,1;48,48;48
102,0,0,1,-1,1,-1
104,0,0,1,-1,1,-1
106,0,0,1,-1,1,-1
108,0,0,1,2010;2011,48;48,48;48
110,0,0,1,-1,1,-1
112,0,0,1,-1,1,-1
114,0,0,1,-1,1,-1
116,0,0,1,2014;2015,48;48,48;48
118,0,0,1,-1,1,-1
120,0,0,1,-1,1,-1
122,0,0,1,-1,1,-1
124,0,0,1,2018;2019,48;48,48;48
126,0,0,1,-1,1,-1
128,0,0,1,-1,1,-1
130,0,0,1,-1,1,-1
132,0,0,1,2022;2023,48;48,48;48
134,0,0,1,-1,1,-1
136,0,0,1,-1,1,-1
138,0,0,1,2026;2027,48;48,48;48
140,0,0,1,2030;2031,48;48,48;48
142,0,0,1,-1,1,-1
144,0,0,1,-1,1,-1
146,0,0,1,-1,1,-1
148,0,0,1,2034;2035,48;48,48;48
150,0,0,1,-1,1,-1
152,0,0,1,-1,1,-1
154,0,0,1,-1,1,-1
156,0,0,1,2038;2039,48;48,48;48
158,0,0,1,-1,1,-1
160,0,0,1,-1,1,-1
162,0,0,1,-1,1,-1
164,0,0,1,2042;2043,48;48,48;48
166,0,0,1,-1,1,-1
168,0,0,1,-1,1,-1
170,0,0,1,-1,1,-1
172,0,0,1,2046;2047,48;48,48;48
174,0,0,1,3002;3003,88;88,48;48
176,0,0,1,-1,1,-1
178,0,0,1,-1,1,-1
180,0,0,1,2050;2051,48;48,48;48
182,0,0,1,3007;3008,88;88,48;48
184,0,0,1,-1,1,-1
186,0,0,1,-1,1,-1
188,0,0,1,2054;2055,48;48,48;48
190,0,0,1,3011;3012,88;88,48;48
192,0,0,1,2058;2059,48;48,48;48
194,0,0,1,3015;3016,88;88,48;48
196,0,0,1,-1,88,-1
198,0,0,1,-1,88,-1
200,0,0,1,-1,88,-1
202,0,0,1,3019;3020,88;88,48;48
204,0,0,1,-1,88,-1
206,0,0,1,-1,88,-1
208,0,0,1,-1,88,-1
210,0,0,1,3023;3024,88;88,48;48
212,0,0,1,-1,88,-1
214,0,0,1,-1,88,-1
216,0,0,1,-1,88,-1
218,0,0,1,3027;3028,88;88,48;48
220,0,0,1,-1,88,-1
222,0,0,1,-1,88,-1
224,0,0,1,-1,88,-1
226,0,0,1,3031;3032,88;88,48;48
228,0,0,1,-1,88,-1
230,0,0,1,-1,88,-1
232,0,0,1,-1,88,-1
234,0,0,1,3035;3036,88;88,48;48
236,0,0,1,-1,88,-1
238,0,0,1,-1,88,-1
240,0,0,1,-1,88,-1
242,0,0,1,3039;3040,88;88,48;48
244,0,0,1,-1,88,-1
246,0,0,1,-1,88,-1
248,0,0,1,-1,88,-1
250,0,0,1,3043;3044,88;88,48;48
252,0,0,1,-1,88,-1
254,0,0,1,-1,88,-1
256,0,0,1,-1,88,-1
258,0,0,1,3047;3048,88;88,48;48
260,0,0,1,-1,88,-1
262,0,0,1,-1,88,-1
264,0,0,1,-1,88,-1
266,0,0,1,3051;3052,88;88,48;48
268,0,0,1,-1,1,-1
272,0,0,0,3055;3056,88;88,48;48
