procset,wid,sin,rep,key,x_value,y_value,type
tomo2D,0,1,1,t,0.024522563361867422,7.433808764125194,FK
tomo2D,0,1,1,t,0.7019222516217908,15.307308761433399,FK
tomo2D,0,1,1,t,1.0073078202524148,18.335577991167323,FK
tomo2D,0,1,1,t,1.2682736698094932,20.758193374954466,FK
tomo2D,0,1,1,t,1.5347919842507651,23.853757476460256,FK
tomo2D,0,1,2,t,0.018969865793326213,7.433808764125194,FK
tomo2D,0,1,2,t,0.057836325055384,8.645116456018764,FK
tomo2D,0,1,2,t,0.5409007699801891,13.82682158245237,FK
tomo2D,0,1,2,t,0.7685518302321087,16.11484722269578,FK
tomo2D,0,1,2,t,1.0073078202524148,18.335577991167323,FK
tomo2D,0,1,2,t,1.0295176797891872,19.008526708885974,FK
tomo2D,0,1,2,t,1.3015884591146523,21.22925747735752,FK
tomo2D,0,1,2,t,1.3460081781881976,21.49843696444498,FK
tomo2D,0,1,2,t,1.5403444491349583,24.05564209177585,FK
tomo2D,0,1,2,t,1.5403444491349583,23.3826933740572,FK
tomo2D,0,2,1,t,0.05228605120457336,6.626270302862814,FK
tomo2D,0,2,1,t,0.535348305095996,12.346334403471339,FK
tomo2D,0,2,1,t,0.8684961981475857,16.653206196870702,FK
tomo2D,0,2,1,t,1.1738817667782095,19.3450010677453,FK
tomo2D,0,2,1,t,1.5125821247139926,23.719167732916524,FK
tomo2D,0,2,2,t,0.041180656067490995,7.904872866528249,FK
tomo2D,0,2,2,t,0.32435463949665577,11.94256517284015,FK
tomo2D,0,2,2,t,0.7019222516217908,15.307308761433399,FK
tomo2D,0,2,2,t,1.2016440911991753,19.950654913692084,FK
tomo2D,0,2,2,t,1.5347919842507651,23.719167732916524,FK
tomo2D,0,3,1,t,0.024522563361867422,7.702988251212654,FK
tomo2D,0,3,1,t,0.40764161275955324,13.153872864733719,FK
tomo2D,0,3,1,t,0.7518944355795293,17.124270299273757,FK
tomo2D,0,3,1,t,1.1627768370098233,21.565731836216845,FK
tomo2D,0,3,1,t,1.4237426865669018,24.930475424810094,FK
tomo2D,0,3,1,t,1.5514493789033446,26.882026706194182,FK
tomo2D,0,3,2,t,0.024522563361867422,8.17405235361571,FK
tomo2D,0,3,2,t,0.6575025325482455,15.643783120292728,FK
tomo2D,0,3,2,t,1.1960916263149821,21.363847220901253,FK
tomo2D,0,3,2,t,1.5236870544823786,26.478257475562994,FK
tomo2D,0,4,1,t,0.046733353636032204,8.106757481843843,FK
tomo2D,0,4,1,t,0.45761379671729163,14.836244659030344,FK
tomo2D,0,4,1,t,1.0239652149049943,21.36384722090125,FK
tomo2D,0,4,1,t,1.3848754323775498,24.99777029658196,FK
tomo2D,0,4,1,t,1.5403444491349583,26.882026706194182,FK
tomo2D,0,4,2,t,0.024522563361867422,7.904872866528249,FK
tomo2D,0,4,2,t,0.6352926730114729,16.24943696623951,FK
tomo2D,0,4,2,t,1.05172753932596,21.36384722090125,FK
tomo2D,0,4,2,t,1.4237426865669018,25.26694978366942,FK
tomo2D,0,4,2,t,1.5514493789033446,27.353090808597237,FK
tomo2D,0,5,1,t,0.030075260930408576,8.71241132779063,FK
tomo2D,0,5,1,t,0.2410676662337583,11.00043696803404,FK
tomo2D,0,5,1,t,0.4131940776437464,13.423052351821179,FK
tomo2D,0,5,1,t,0.5964254188221207,14.701654915486614,FK
tomo2D,0,5,1,t,0.9962028904840284,18.470167734711055,FK
tomo2D,0,5,1,t,1.3460081781881978,22.70974465633855,FK
tomo2D,0,5,1,t,1.5458969140191514,25.603424142528745,FK
tomo2D,0,5,2,t,0.018969865793326213,8.03946261007198,FK
tomo2D,0,5,2,t,0.2799349204231105,11.40420619866523,FK
tomo2D,0,5,2,t,0.47427119136987117,13.961411325996101,FK
tomo2D,0,5,2,t,0.8185240141898471,16.585911325098838,FK
tomo2D,0,5,2,t,1.1405669774730507,20.690898503182606,FK
tomo2D,0,5,2,t,1.5347919842507651,25.536129270756884,FK
tomo2D,0,6,1,t,0.041180656067490995,7.635693379440788,FK
tomo2D,0,6,1,t,0.6852648569692114,16.11484722269578,FK
tomo2D,0,6,1,t,0.7963141546530746,18.739347221798514,FK
tomo2D,0,6,1,t,1.05172753932596,20.6908985031826,FK
tomo2D,0,6,1,t,1.3126933888830385,24.795885681266366,FK
tomo2D,0,6,1,t,1.5514493789033446,27.68956516745656,FK
